sls_ord_num,sls_order_dt,sls_ship_dt,sls_due_dt,customer_sk,product_sk,sls_sales,sls_quantity,sls_price,sls_sales_calc
SO51259,2013-01-01,2013-01-08,2013-01-13,1297080123394,137,10.0,2,2.0,
SO51298,2013-01-04,2013-01-11,2013-01-16,627065225304,137,25.0,5,2.0,
SO51387,2013-01-09,2013-01-16,2013-01-21,644245094405,125,70.0,2,13.0,
SO51479,2013-01-16,2013-01-23,2013-01-28,1675037245466,103,9.0,1,3.0,
SO51942,2013-01-29,2013-02-05,2013-02-10,292057776128,29,100.0,10,4.0,
SO52187,2013-02-03,2013-02-10,2013-02-15,317827579938,140,16.0,2,3.0,
SO58623,2013-05-25,2013-06-01,2013-06-06,773094113306,117,1701.0,1,-1701.0,-1701.0
SO57804,2013-05-11,2013-05-18,2013-05-23,1047972020250,57,769.0,1,-769.0,-769.0
SO57916,2013-05-13,2013-05-20,2013-05-25,377957122104,48,30.0,1,-30.0,-30.0
SO58326,2013-05-20,2013-05-27,2013-06-01,1503238553604,30,22.0,1,-22.0,-22.0
SO58818,2013-05-28,2013-06-04,2013-06-09,884763263041,109,21.0,1,-21.0,-21.0
SO51217,2012-12-30,2013-01-06,2013-01-11,1236950581250,138,2.0,1,2.0,2.0
SO51231,2012-12-31,2013-01-07,2013-01-12,94489280514,138,2.0,1,2.0,2.0
SO51241,2012-12-31,2013-01-07,2013-01-12,635655159878,138,2.0,1,2.0,2.0
SO51244,2012-12-31,2013-01-07,2013-01-12,987842478187,138,2.0,1,2.0,2.0
SO51252,2013-01-01,2013-01-08,2013-01-13,1597727834143,138,2.0,1,2.0,2.0
SO51269,2013-01-03,2013-01-10,2013-01-15,438086664220,138,2.0,1,2.0,2.0
SO51286,2013-01-04,2013-01-11,2013-01-16,532575944730,138,2.0,1,2.0,2.0
SO51288,2013-01-04,2013-01-11,2013-01-16,695784701953,138,2.0,1,2.0,2.0
SO51289,2013-01-04,2013-01-11,2013-01-16,360777252864,138,2.0,1,2.0,2.0
SO51294,2013-01-04,2013-01-11,2013-01-16,1022202216485,138,2.0,1,2.0,2.0
SO51306,2013-01-05,2013-01-12,2013-01-17,816043786243,138,2.0,1,2.0,2.0
SO51341,2013-01-07,2013-01-14,2013-01-19,369367187463,138,2.0,1,2.0,2.0
SO51355,2013-01-07,2013-01-14,2013-01-19,300647710784,138,2.0,1,2.0,2.0
SO51361,2013-01-08,2013-01-15,2013-01-20,1219770712142,138,2.0,1,2.0,2.0
SO51385,2013-01-09,2013-01-16,2013-01-21,188978561024,138,2.0,1,2.0,2.0
SO51397,2013-01-10,2013-01-17,2013-01-22,1159641169927,138,2.0,1,2.0,2.0
SO51408,2013-01-11,2013-01-18,2013-01-23,558345748482,138,2.0,1,2.0,2.0
SO51412,2013-01-11,2013-01-18,2013-01-23,343597383733,138,2.0,1,2.0,2.0
SO51423,2013-01-11,2013-01-18,2013-01-23,1503238553685,138,2.0,1,2.0,2.0
SO51469,2013-01-15,2013-01-22,2013-01-27,1039382085633,138,2.0,1,2.0,2.0
SO51472,2013-01-15,2013-01-22,2013-01-27,1451698946117,138,2.0,1,2.0,2.0
SO51485,2013-01-16,2013-01-23,2013-01-28,128849018918,138,2.0,1,2.0,2.0
SO51489,2013-01-16,2013-01-23,2013-01-28,1425929142274,138,2.0,1,2.0,2.0
SO51518,2013-01-18,2013-01-25,2013-01-30,1047972020247,138,2.0,1,2.0,2.0
SO51523,2013-01-18,2013-01-25,2013-01-30,1554778161212,138,2.0,1,2.0,2.0
SO51556,2013-01-20,2013-01-27,2013-02-01,1056561954816,138,2.0,1,2.0,2.0
SO51562,2013-01-20,2013-01-27,2013-02-01,60129542144,138,2.0,1,2.0,2.0
SO51563,2013-01-20,2013-01-27,2013-02-01,1425929142308,138,2.0,1,2.0,2.0
SO51567,2013-01-20,2013-01-27,2013-02-01,1468878815251,138,2.0,1,2.0,2.0
SO51582,2013-01-21,2013-01-28,2013-02-02,927712935936,138,2.0,1,2.0,2.0
SO51609,2013-01-23,2013-01-30,2013-02-04,283467841552,138,2.0,1,2.0,2.0
SO51612,2013-01-23,2013-01-30,2013-02-04,1417339207680,138,2.0,1,2.0,2.0
SO51616,2013-01-23,2013-01-30,2013-02-04,360777252915,138,2.0,1,2.0,2.0
SO51623,2013-01-24,2013-01-31,2013-02-05,249108103236,138,2.0,1,2.0,2.0
SO51625,2013-01-24,2013-01-31,2013-02-05,17179869214,138,2.0,1,2.0,2.0
SO51639,2013-01-25,2013-02-01,2013-02-06,412316860449,138,2.0,1,2.0,2.0
SO51652,2013-01-25,2013-02-01,2013-02-06,94489280515,138,2.0,1,2.0,2.0
SO51664,2013-01-26,2013-02-02,2013-02-07,1236950581265,138,2.0,1,2.0,2.0
SO51674,2013-01-27,2013-02-03,2013-02-08,919123001416,138,2.0,1,2.0,2.0
SO51881,2013-01-28,2013-02-04,2013-02-09,1580547964972,138,2.0,1,2.0,2.0
SO51885,2013-01-28,2013-02-04,2013-02-09,292057776151,138,2.0,1,2.0,2.0
SO51886,2013-01-28,2013-02-04,2013-02-09,352187318315,138,2.0,1,2.0,2.0
SO51890,2013-01-28,2013-02-04,2013-02-09,51539607584,138,2.0,1,2.0,2.0
SO51891,2013-01-28,2013-02-04,2013-02-09,1391569403965,138,2.0,1,2.0,2.0
