CID,CNTRY,ingestion_dt
AW00011000,Australia,2026-05-11T11:43:30.224Z
AW00011001,Australia,2026-05-11T11:43:30.224Z
AW00011002,Australia,2026-05-11T11:43:30.224Z
AW00011003,Australia,2026-05-11T11:43:30.224Z
AW00011004,Australia,2026-05-11T11:43:30.224Z
AW00011005,Australia,2026-05-11T11:43:30.224Z
AW00011006,Australia,2026-05-11T11:43:30.224Z
AW00011007,Australia,2026-05-11T11:43:30.224Z
AW00011008,Australia,2026-05-11T11:43:30.224Z
AW00011009,Australia,2026-05-11T11:43:30.224Z
AW00011010,Australia,2026-05-11T11:43:30.224Z
AW00011011,Australia,2026-05-11T11:43:30.224Z
AW00011012,United States,2026-05-11T11:43:30.224Z
AW00011013,United States,2026-05-11T11:43:30.224Z
AW00011014,United States,2026-05-11T11:43:30.224Z
AW00011015,United States,2026-05-11T11:43:30.224Z
AW00011016,United States,2026-05-11T11:43:30.224Z
AW00011017,Australia,2026-05-11T11:43:30.224Z
AW00011018,Australia,2026-05-11T11:43:30.224Z
AW00011019,Canada,2026-05-11T11:43:30.224Z
AW00011020,Canada,2026-05-11T11:43:30.224Z
AW00011021,United States,2026-05-11T11:43:30.224Z
AW00011022,United States,2026-05-11T11:43:30.224Z
AW00011023,United States,2026-05-11T11:43:30.224Z
AW00011024,United States,2026-05-11T11:43:30.224Z
AW00011025,Australia,2026-05-11T11:43:30.224Z
AW00011026,Australia,2026-05-11T11:43:30.224Z
AW00011027,Australia,2026-05-11T11:43:30.224Z
AW00011028,Australia,2026-05-11T11:43:30.224Z
AW00011029,Australia,2026-05-11T11:43:30.224Z
AW00011030,Australia,2026-05-11T11:43:30.224Z
AW00011031,Australia,2026-05-11T11:43:30.224Z
AW00011032,Australia,2026-05-11T11:43:30.224Z
AW00011033,Australia,2026-05-11T11:43:30.224Z
AW00011034,Australia,2026-05-11T11:43:30.224Z
AW00011035,Australia,2026-05-11T11:43:30.224Z
AW00011036,United States,2026-05-11T11:43:30.224Z
AW00011037,Canada,2026-05-11T11:43:30.224Z
AW00011038,Australia,2026-05-11T11:43:30.224Z
AW00011039,Australia,2026-05-11T11:43:30.224Z
AW00011040,United States,2026-05-11T11:43:30.224Z
AW00011041,United States,2026-05-11T11:43:30.224Z
AW00011042,United States,2026-05-11T11:43:30.224Z
AW00011043,United States,2026-05-11T11:43:30.224Z
AW00011044,Australia,2026-05-11T11:43:30.224Z
AW00011045,Australia,2026-05-11T11:43:30.224Z
